city,city_code
EAST BETHEL,1305
EAST CHAIN,1306
EAST GRAND FORKS,1307
EAST GULL LAKE,1308
EASTON,1309
EBRO,1310
ECHO,1311
ECHO LAKE,1312
EDEN PRAIRIE,1313
EDEN VALLEY,1314
EDGERTON,1315
EDINA,1316
EFFIE,1317
EITZEN,1318
ELBA,1319
ELBOW LAKE,1320
ELDRED,1321
ELGIN,1322
ELIZABETH,1323
ELK RIVER,1324
ELKO,1325
ELKO NEW MARKET,1326
ELKTON,1327
ELLENDALE,1328
ELLSWORTH,1329
ELMDALE,1330
ELMER,1331
ELMORE,1332
ELROSA,1333
ELY,1334
ELYSIAN,1335
EMBARRASS,1336
EMILY,1337
EMMONS,1338
ERDAHL,1339
ERHARD,1340
ERICSBURG,1341
ERSKINE,1342
ESKO,1343
ESSIG,1344
EUCLID,1345
EVAN,1346
EVANSVILLE,1347
EVELETH,1348
EVERGREEN,1349
EXCELSIOR,1350
EYOTA,1351
FAIRBANKS,1352
FAIRFAX,1353
FAIRHAVEN,1354
FAIRMONT,1355
FAITH,1356
FALCON HEIGHTS,1357
FARIBAULT,1358
FARMING,1359
FARMINGTON,1360
FARWELL,1361
FEDERAL DAM,1362
FELTON,1363
FERGUS FALLS,1364
FERTILE,1365
FIFTY LAKES,1366
FINLAND,1367
FINLAYSON,1368
FISHER,1369
FLENSBURG,1370
FLOM,1371
FLOODWOOD,1372
FLORENCE,1373
FLORIAN,1374
FOLEY,1375
FORADA,1376
FORBES,1377
FOREST CITY,1378
FOREST LAKE,1379
FORESTON,1380
FORT RIPLEY,1381
FOSSTON,1382
FOUNTAIN,1383
FOXBORO,1384
FOXHOME,1385
FRANKLIN,1386
FRAZEE,1387
FREEBORN,1388
FREEPORT,1389
FRENCH LAKE,1390
FRIDLEY,1391
FRONTENAC,1392
FROST,1393
FULDA,1394
FUNKLEY,1395
GARDEN CITY,1396
GARFIELD,1397
GARRISON,1398
GARVIN,1399
GARY,1400
GATZKE,1401
GAYLORD,1402
GEM LAKE,1403
GENEVA,1404
GENOA,1405
GENOLA,1406
GENTILLY,1407
GEORGETOWN,1408
GEORGEVILLE,1409
GHEEN,1410
GHENT,1411
GIBBON,1412
GIESE,1413
GILBERT,1414
GILMAN,1415
GLEN,1416
GLENCOE,1417
GLENVILLE,1418
GLENWOOD,1419
GLYNDON,1420
GOLDEN VALLEY,1421
GONVICK,1422
GOOD THUNDER,1423
GOODHUE,1424
GOODLAND,1425
GOODRIDGE,1426
GOODVIEW,1427
GORDONSVILLE,1428
GOWAN,1429
GRACETON,1430
GRACEVILLE,1431
GRANADA,1432
GRAND MARAIS,1433
GRAND MEADOW,1434
GRAND PORTAGE,1435
GRAND RAPIDS,1436
GRANDY,1437
GRANGER,1438
GRANITE FALLS,1439
GRANT,1440
GRASSTON,1441
GREEN ISLE,1442
GREEN VALLEY,1443
GREENBUSH,1444
GREENFIELD,1445
GREENLEAFTON,1446
GREENWALD,1447
GREENWOOD,1448
GREY EAGLE,1449
GROVE CITY,1450
GRYGLA,1451
GULL LAKE,1452
GULLY,1453
GUTHRIE,1454
HACKENSACK,1455
HADLEY,1456
HALLOCK,1457
HALMA,1458
HALSTAD,1459
HAM LAKE,1460
HAMBURG,1461
HAMEL,1462
HAMMOND,1463
HAMPTON,1464
HANCOCK,1465
HANLEY FALLS,1466
HANOVER,1467
HANSKA,1468
HARDING,1469
HARDWICK,1470
HARMONY,1471
HARRIS,1472
HARTLAND,1473
HASTINGS,1474
HASTY,1475
HATFIELD,1476
HAWICK,1477
HAWLEY,1478
HAYFIELD,1479
HAYWARD,1480
HAZEL RUN,1481
HECTOR,1482
HEIDELBERG,1483
HENDERSON,1484
HENDRICKS,1485
HENDRUM,1486
HENNING,1487
HENRIETTE,1488
HERMAN,1489
HERMANTOWN,1490
HERON LAKE,1491
HEWITT,1492
HIBBING,1493
HIGHLAND,1494
HILL CITY,1495
HILLMAN,1496
HILLS,1497
HILLTOP,1498
HINCKLEY,1499
HINES,1500
HITTERDAL,1501
HOFFMAN,1502
HOKAH,1503
HOLDINGFORD,1504
HOLLAND,1505
HOLLANDALE,1506
HOLLOWAY,1507
HOLMES CITY,1508
HOLT,1509
HOLYOKE,1510
HOMER,1511
HOPE,1512
HOPKINS,1513
HOUSTON,1514
HOVLAND,1515
HOWARD LAKE,1516
HOYT LAKES,1517
HUGO,1518
HUMBOLDT,1519
HUNTLEY,1520
HUTCHINSON,1521
IHLEN,1522
ILLGEN CITY,1523
INDEPENDENCE,1524
INTERNATIONAL FALLS,1525
INVER GROVE HEIGHTS,1526
IONA,1527
IRON,1528
IRON JUNCTION,1529
IRONTON,1530
ISABELLA,1531
ISANTI,1532
ISLE,1533
IVANHOE,1534
IVERSON,1535
JACKSON,1536
JACOBSON,1537
JANESVILLE,1538
JASPER,1539
JEFFERS,1540
JENKINS,1541
JESSIE LAKE,1542
JOHNSON,1543
JORDAN,1544
JUDSON,1545
KABETOGAMA,1546
KANARANZI,1547
KANDIYOHI,1548
KARLSTAD,1549
KASOTA,1550
KASSON,1551
KEEWATIN,1552
KELLIHER,1553
KELLOGG,1554
KELLY LAKE,1555
KELSEY,1556
KENNEDY,1557
KENNETH,1558
KENSINGTON,1559
KENT,1560
KENYON,1561
KERKHOVEN,1562
KERRICK,1563
KETTLE FALLS,1564
KETTLE RIVER,1565
KIESTER,1566
KILKENNY,1567
KIMBALL,1568
KINBRAE,1569
KINGSTON,1570
KINNEY,1571
KLOSSNER,1572
KNIFE RIVER,1573
LA CRESCENT,1574
LA PRAIRIE,1575
LA SALLE,1576
LAFAYETTE,1577
LAKE BENTON,1578
LAKE BRONSON,1579
LAKE CITY,1580
LAKE CRYSTAL,1581
LAKE ELMO,1582
LAKE GEORGE,1583
LAKE HENRY,1584
LAKE HUBERT,1585
LAKE ITASCA,1586
LAKE LILLIAN,1587
LAKE MARY,1588
LAKE PARK,1589
LAKE SHORE,1590
LAKE ST CROIX BEACH,1591
LAKE WILSON,1592
LAKEFIELD,1593
LAKELAND,1594
LAKELAND SHORES,1595
LAKEVILLE,1596
LAKEWOOD,1597
LAMBERTON,1598
LANCASTER,1599
LANDFALL,1600
LANESBORO,1601
LANSING,1602
LAPORTE,1603
LASTRUP,1604
LAUDERDALE,1605
LE CENTER,1606
LE ROY,1607
LE SUEUR,1608
LEADER,1609
LENGBY,1610
LEONARD,1611
LEONIDAS,1612
LEOTA,1613
LESTER PRAIRIE,1614
LEWISTON,1615
LEWISVILLE,1616
LEXINGTON,1617
LILYDALE,1618
LIME CREEK,1619
LINCOLN,1620
LINDSTROM,1621
LINO LAKES,1622
LINWOOD,1623
LINWOOD TOWNSHIP,1624
LISMORE,1625
LITCHFIELD,1626
LITTLE CANADA,1627
LITTLE FALLS,1628
LITTLE MARAIS,1629
LITTLE PINE LAKE,1630
LITTLE ROCK,1631
LITTLE SAUK,1632
LITTLE SWAN,1633
LITTLEFORK,1634
LOCKHART,1635
LOMAN,1636
LONDON,1637
LONG BEACH,1638
LONG LAKE,1639
LONG PRAIRIE,1640
LONGVILLE,1641
LONSDALE,1642
LORETTO,1643
LOST LAKE,1644
LOUISBURG,1645
LOWRY,1646
LUCAN,1647
LUTSEN,1648
LUVERNE,1649
LYLE,1650
LYND,1651
MABEL,1652
MADELIA,1653
MADISON,1654
MADISON LAKE,1655
MAGNOLIA,1656
MAHNOMEN,1657
MAHTOMEDI,1658
MAHTOWA,1659
MAKINEN,1660
MALMO,1661
MALUNG,1662
